date,air_temp_C,pressure_kPa,wind_speed_m_s,moon_phase,summer_factor,estimated_water_temp_C
2025-02-17,-12.47,102.51,6.0,Full Moon,0.0,-8.3
2025-02-18,-13.33,102.03,2.66,Last Quarter,0.0,-9.03
2025-02-19,-16.38,100.88,3.17,Last Quarter,0.0,-11.54
2025-02-20,-14.86,100.18,4.03,Last Quarter,0.0,-10.41
2025-02-21,-13.57,100.15,3.56,Last Quarter,0.0,-9.34
2025-02-22,-6.41,99.12,7.93,Last Quarter,0.0,-4.05
2025-02-23,-2.06,98.26,2.68,Last Quarter,0.0,-0.06
2025-02-24,-2.51,98.9,1.9,Last Quarter,0.0,-0.33
2025-02-25,-2.41,99.99,8.77,Last Quarter,0.0,-0.93
2025-02-26,-3.66,100.78,12.73,Waning,0.0,-2.32
2025-02-27,-1.79,101.12,8.46,Waning,0.0,-0.39
2025-02-28,-5.15,101.89,7.06,Waning,0.0,-2.93
2025-03-01,-6.67,101.74,8.07,Waning,0.0,-4.25
2025-03-02,-6.02,101.09,8.44,Waning,0.0,-3.77
2025-03-03,-7.47,101.0,8.46,Waning,0.0,-4.94
2025-03-04,-11.73,101.19,8.42,Waning,0.0,-8.34
2025-03-05,-11.62,100.57,10.14,New Moon,0.0,-8.43
2025-03-06,-5.46,100.22,9.29,New Moon,0.0,-3.42
2025-03-07,-4.17,100.75,7.95,First Quarter,0.0,-2.25
2025-03-08,-3.97,100.79,5.57,First Quarter,0.0,-1.85
2025-03-09,-9.9,101.04,6.42,First Quarter,0.0,-6.68
2025-03-10,-19.23,101.26,3.19,First Quarter,0.0,-13.82
2025-03-11,-17.44,100.99,2.3,First Quarter,0.0,-12.3
2025-03-12,-21.0,100.64,5.31,First Quarter,0.0,-15.45
2025-03-13,-27.39,100.07,10.41,Full Moon,0.0,-20.7
2025-03-14,-22.9,99.57,6.48,Full Moon,0.0,-16.72
2025-03-15,-14.58,99.79,7.64,Full Moon,0.0,-10.18
2025-03-16,-19.34,100.27,9.98,Full Moon,0.0,-14.22
2025-03-17,-17.53,100.04,11.46,Full Moon,0.0,-12.92
2025-03-18,-16.81,99.03,10.95,Full Moon,0.0,-12.3
2025-03-19,-15.02,98.9,10.84,Full Moon,0.0,-10.86
2025-03-20,-13.92,98.9,11.39,Last Quarter,0.0,-10.41
2025-03-21,-14.4,100.02,8.58,Last Quarter,0.0,-10.5
2025-03-22,-17.64,101.09,3.81,Last Quarter,0.0,-12.61
2025-03-23,-9.79,99.39,12.88,Last Quarter,0.0,-7.25
2025-03-24,-4.94,98.64,5.39,Last Quarter,0.0,-2.63
2025-03-25,-7.7,98.98,4.51,Last Quarter,0.0,-4.75
2025-03-26,-3.58,98.72,5.73,Last Quarter,0.0,-1.57
2025-03-27,-4.02,98.69,7.42,Waning,0.0,-2.1
2025-03-28,-7.06,99.24,9.16,Waning,0.0,-4.7
2025-03-29,-13.65,99.91,10.99,Waning,0.0,-10.14
2025-03-30,-14.35,101.08,8.42,Waning,0.0,-10.44
2025-03-31,-14.96,101.69,2.46,Waning,0.0,-10.32
2025-04-01,-14.53,101.05,4.12,Waning,0.0,-10.15
2025-04-02,-15.07,100.55,10.31,Waning,0.0,-11.21
2025-04-03,-21.23,101.24,10.98,Waning,0.0,-16.19
2025-04-04,-20.64,101.48,12.02,New Moon,0.0,-15.82
2025-04-05,-19.99,101.64,4.76,New Moon,0.0,-14.58
2025-04-06,-18.85,101.8,3.7,First Quarter,0.0,-13.56
2025-04-07,-21.77,102.09,4.4,First Quarter,0.0,-15.96
2025-04-08,-22.68,101.56,8.29,First Quarter,0.0,-17.08
2025-04-09,-21.11,101.54,10.34,First Quarter,0.0,-16.03
2025-04-10,-19.62,100.34,10.7,First Quarter,0.0,-14.89
2025-04-11,-11.47,98.94,9.03,Full Moon,0.0,-7.84
2025-04-12,-13.16,99.08,5.96,Full Moon,0.0,-8.88
2025-04-13,-8.35,99.69,5.85,Full Moon,0.0,-5.02
2025-04-14,-12.67,100.83,7.71,Full Moon,0.0,-8.65
2025-04-15,-17.31,101.63,8.29,Full Moon,0.0,-12.41
2025-04-16,-15.22,102.59,7.0,Full Moon,0.0,-10.6
2025-04-17,-16.41,102.72,2.85,Full Moon,0.0,-11.14
2025-04-18,-15.21,101.92,1.0,Full Moon,0.0,-10.0
2025-04-19,-14.61,101.31,4.04,Last Quarter,0.0,-10.2
2025-04-20,-15.09,101.57,5.33,Last Quarter,0.0,-10.71
2025-04-21,-14.31,101.7,8.4,Last Quarter,0.0,-10.4
2025-04-22,-13.2,101.43,6.79,Last Quarter,0.0,-9.35
2025-04-23,-13.83,101.34,4.0,Last Quarter,0.0,-9.58
2025-04-24,-14.62,101.55,7.75,Last Quarter,0.0,-10.58
2025-04-25,-14.55,101.69,7.36,Last Quarter,0.0,-10.48
2025-04-26,-11.76,102.04,7.64,Waning,0.0,-8.28
2025-04-27,-10.12,102.28,5.14,Waning,0.0,-6.71
2025-04-28,-12.15,101.81,9.09,Waning,0.0,-8.74
2025-04-29,-9.29,101.02,8.5,Waning,0.0,-6.4
2025-04-30,-9.84,99.61,8.77,Waning,0.0,-6.88
2025-05-01,-10.61,99.27,2.1,Waning,1.0,-2.83
2025-05-02,-8.46,99.61,8.78,Waning,1.0,-1.77
2025-05-03,-6.74,99.54,12.35,New Moon,1.0,-0.76
2025-05-04,-7.13,100.26,8.34,New Moon,1.0,-0.66
2025-05-05,-8.43,101.42,4.75,First Quarter,1.0,-1.33
2025-05-06,-7.42,101.86,6.38,First Quarter,1.0,-0.68
2025-05-07,-5.63,102.03,3.75,First Quarter,1.0,1.02
2025-05-08,-3.46,102.14,7.14,First Quarter,1.0,2.41
2025-05-09,-2.24,102.07,8.62,First Quarter,1.0,3.24
2025-05-10,-0.86,101.6,10.54,First Quarter,1.0,4.15
2025-05-11,-0.06,100.56,7.68,Full Moon,1.0,5.44
2025-05-12,-0.38,100.06,6.38,Full Moon,1.0,5.31
2025-05-13,-1.32,100.77,5.38,Full Moon,1.0,4.66
2025-05-14,-1.47,100.84,5.3,Full Moon,1.0,4.55
2025-05-15,-3.06,100.53,8.47,Full Moon,1.0,2.96
2025-05-16,-5.06,101.46,3.87,Full Moon,1.0,1.83
2025-05-17,-5.52,101.88,6.13,Full Moon,1.0,1.24
2025-05-18,-4.28,101.71,4.87,Last Quarter,1.0,1.98
2025-05-19,-3.74,101.71,2.32,Last Quarter,1.0,2.67
2025-05-20,-4.43,102.22,5.39,Last Quarter,1.0,1.81
2025-05-21,-3.97,102.07,5.99,Last Quarter,1.0,2.12
2025-05-22,-1.93,100.75,7.02,Last Quarter,1.0,3.64
2025-05-23,-3.39,100.99,10.67,Last Quarter,1.0,2.11
2025-05-24,-5.04,102.39,5.98,Last Quarter,1.0,1.27
2025-05-25,-4.82,102.51,5.81,Waning,1.0,1.46
2025-05-26,-2.6,101.09,10.73,Waning,1.0,2.73
2025-05-27,-1.46,99.74,6.36,Waning,1.0,4.07
2025-05-28,-2.19,99.93,2.09,Waning,1.0,3.91
2025-05-29,-1.91,100.37,3.66,Waning,1.0,3.98
2025-05-30,-1.72,100.51,7.06,Waning,1.0,3.8
2025-05-31,-1.32,99.84,8.44,Waning,1.0,3.97
2025-06-01,-3.2,100.44,11.06,Waning,1.0,2.21
2025-06-02,-1.86,100.85,6.97,New Moon,1.0,3.7
2025-06-03,-1.17,101.13,5.98,New Moon,1.0,4.35
2025-06-04,-0.61,100.78,6.53,First Quarter,1.0,4.74
2025-06-05,-0.26,100.5,7.2,First Quarter,1.0,4.95
2025-06-06,-1.35,100.5,8.01,First Quarter,1.0,4.0
2025-06-07,-1.54,100.15,6.84,First Quarter,1.0,3.96
2025-06-08,-1.23,100.69,2.37,First Quarter,1.0,4.66
2025-06-09,-0.61,101.16,3.33,Full Moon,1.0,5.44
2025-06-10,-0.86,101.39,4.06,Full Moon,1.0,5.17
2025-06-11,-1.19,101.47,4.38,Full Moon,1.0,4.87
2025-06-12,-1.22,101.81,1.92,Full Moon,1.0,5.1
2025-06-13,-1.03,101.87,1.29,Full Moon,1.0,5.32
2025-06-14,-1.18,101.44,2.02,Full Moon,1.0,5.12
2025-06-15,-0.56,101.4,2.98,Full Moon,1.0,5.52
2025-06-16,-0.74,100.98,2.66,Full Moon,1.0,5.4
2025-06-17,-2.05,101.05,6.18,Last Quarter,1.0,3.63
2025-06-18,-1.42,100.93,7.61,Last Quarter,1.0,3.99
2025-06-19,-0.43,101.25,6.68,Last Quarter,1.0,4.88
2025-06-20,-0.88,101.52,4.52,Last Quarter,1.0,4.73
2025-06-21,-0.27,101.3,3.48,Last Quarter,1.0,5.32
2025-06-22,-0.35,101.1,3.57,Last Quarter,1.0,5.25
2025-06-23,-0.36,101.18,2.04,Last Quarter,1.0,5.39
2025-06-24,-0.22,101.17,2.44,Waning,1.0,5.47
2025-06-25,0.1,101.09,3.54,Waning,1.0,5.61
2025-06-26,-0.5,101.68,4.52,Waning,1.0,5.04
2025-06-27,0.61,102.13,4.55,Waning,1.0,5.93
2025-06-28,0.31,102.03,5.74,Waning,1.0,5.57
2025-06-29,0.53,101.71,6.23,Waning,1.0,5.69
2025-06-30,0.87,101.88,5.29,Waning,1.0,6.06
2025-07-01,0.69,101.71,7.04,New Moon,1.0,5.74
2025-07-02,1.42,100.94,9.53,New Moon,1.0,6.07
2025-07-03,1.18,100.82,6.64,First Quarter,1.0,6.16
2025-07-04,1.15,100.42,3.34,First Quarter,1.0,6.47
2025-07-05,1.53,100.59,3.97,First Quarter,1.0,6.71
2025-07-06,1.38,101.05,3.21,First Quarter,1.0,6.67
2025-07-07,0.81,100.89,2.39,First Quarter,1.0,6.29
2025-07-08,0.8,100.06,2.95,First Quarter,1.0,6.22
2025-07-09,1.8,99.66,6.42,Full Moon,1.0,7.04
2025-07-10,2.57,100.68,5.04,Full Moon,1.0,7.81
2025-07-11,2.41,100.85,5.41,Full Moon,1.0,7.65
2025-07-12,3.18,100.7,2.16,Full Moon,1.0,8.59
2025-07-13,2.94,100.85,2.91,Full Moon,1.0,8.32
2025-07-14,3.27,100.79,4.09,Full Moon,1.0,8.46
2025-07-15,2.89,100.58,6.49,Full Moon,1.0,7.92
2025-07-16,2.12,100.82,5.48,Last Quarter,1.0,7.03
2025-07-17,0.88,100.9,2.5,Last Quarter,1.0,6.34
2025-07-18,1.05,101.1,4.6,Last Quarter,1.0,6.27
2025-07-19,2.4,101.31,3.08,Last Quarter,1.0,7.5
2025-07-20,2.14,101.22,1.58,Last Quarter,1.0,7.44
2025-07-21,1.36,101.26,2.03,Last Quarter,1.0,6.77
2025-07-22,1.93,101.07,6.42,Last Quarter,1.0,6.79
2025-07-23,2.26,100.63,9.93,Last Quarter,1.0,6.7
2025-07-24,1.73,99.6,10.44,Waning,1.0,6.21
2025-07-25,1.54,99.54,7.35,Waning,1.0,6.37
2025-07-26,1.56,99.87,6.57,Waning,1.0,6.46
2025-07-27,1.69,100.73,3.25,Waning,1.0,6.91
2025-07-28,2.21,101.24,3.59,Waning,1.0,7.3
2025-07-29,1.29,101.21,5.8,Waning,1.0,6.34
2025-07-30,2.6,101.21,6.15,Waning,1.0,7.35
2025-07-31,2.22,102.2,5.03,New Moon,1.0,7.17
2025-08-01,2.95,101.72,7.51,New Moon,1.0,7.5
2025-08-02,2.15,100.72,3.8,First Quarter,1.0,7.22
2025-08-03,3.15,101.63,3.67,First Quarter,1.0,8.04
2025-08-04,3.07,101.96,8.93,First Quarter,1.0,7.46
2025-08-05,3.34,101.5,10.73,First Quarter,1.0,7.49
2025-08-06,3.35,101.52,7.52,First Quarter,1.0,7.82
2025-08-07,2.94,100.79,5.24,Full Moon,1.0,8.09
2025-08-08,3.64,100.37,6.74,Full Moon,1.0,8.49
2025-08-09,3.43,101.55,6.63,Full Moon,1.0,8.35
2025-08-10,4.07,101.9,5.6,Full Moon,1.0,8.96
2025-08-11,3.61,101.91,4.98,Full Moon,1.0,8.66
2025-08-12,3.86,101.72,3.57,Full Moon,1.0,9.0
2025-08-13,3.92,101.57,4.52,Full Moon,1.0,8.95
2025-08-14,4.18,100.89,5.72,Full Moon,1.0,9.03
2025-08-15,4.66,100.11,7.34,Last Quarter,1.0,8.87
2025-08-16,4.0,99.91,3.94,Last Quarter,1.0,8.68
2025-08-17,3.33,100.41,4.38,Last Quarter,1.0,8.11
2025-08-18,2.03,100.4,12.59,Last Quarter,1.0,6.24
2025-08-19,1.38,100.34,13.28,Last Quarter,1.0,5.65
2025-08-20,2.05,101.13,6.84,Last Quarter,1.0,6.84
2025-08-21,2.53,101.1,10.07,Last Quarter,1.0,6.9
2025-08-22,2.33,101.0,8.21,Waning,1.0,6.93
2025-08-23,2.1,101.11,3.56,Waning,1.0,7.21
2025-08-24,2.94,101.19,2.85,Waning,1.0,7.95
2025-08-25,2.91,101.07,1.97,Waning,1.0,8.02
2025-08-26,2.75,100.92,5.25,Waning,1.0,7.56
2025-08-27,3.04,100.29,4.28,Waning,1.0,7.88
2025-08-28,2.67,100.29,3.14,Waning,1.0,7.7
2025-08-29,2.68,101.07,3.76,New Moon,1.0,7.65
2025-08-30,3.57,101.87,1.41,New Moon,1.0,8.61
2025-08-31,2.63,101.93,2.39,First Quarter,1.0,7.76
2025-09-01,3.49,101.73,3.35,First Quarter,1.0,8.35
2025-09-02,3.38,101.26,3.57,First Quarter,1.0,8.23
2025-09-03,3.42,100.99,2.32,First Quarter,1.0,8.39
2025-09-04,3.36,101.15,5.77,First Quarter,1.0,8.0
2025-09-05,3.28,100.93,5.56,First Quarter,1.0,7.95
2025-09-06,3.32,100.72,6.24,Full Moon,1.0,8.29
2025-09-07,3.06,101.77,6.43,Full Moon,1.0,8.07
2025-09-08,3.97,101.47,5.34,Full Moon,1.0,8.91
2025-09-09,3.09,101.89,3.91,Full Moon,1.0,8.35
2025-09-10,3.47,101.02,7.17,Full Moon,1.0,8.32
2025-09-11,3.89,101.28,5.56,Full Moon,1.0,8.82
2025-09-12,1.26,102.01,4.46,Full Moon,1.0,6.83
2025-09-13,1.46,101.52,4.54,Last Quarter,1.0,6.6
2025-09-14,0.35,101.65,2.82,Last Quarter,1.0,5.89
2025-09-15,0.51,101.43,3.22,Last Quarter,1.0,5.98
2025-09-16,0.45,101.89,6.75,Last Quarter,1.0,5.58
2025-09-17,-0.1,102.03,5.74,Last Quarter,1.0,5.24
2025-09-18,0.17,101.77,4.38,Last Quarter,1.0,5.59
2025-09-19,-0.37,101.46,6.78,Last Quarter,1.0,4.92
2025-09-20,0.05,100.5,5.91,Last Quarter,1.0,5.33
2025-09-21,0.95,100.17,9.4,Waning,1.0,5.7
2025-09-22,1.86,100.08,6.18,Waning,1.0,6.75
2025-09-23,1.69,101.0,1.55,Waning,1.0,7.08
2025-09-24,1.75,101.04,3.78,Waning,1.0,6.91
2025-09-25,1.43,100.65,1.96,Waning,1.0,6.83
2025-09-26,1.33,100.62,5.34,Waning,1.0,6.41
2025-09-27,1.84,100.16,7.48,Waning,1.0,6.6
2025-09-28,2.57,99.62,12.04,New Moon,1.0,6.72
2025-09-29,0.15,100.65,5.38,New Moon,1.0,5.46
2025-09-30,-0.77,101.27,4.97,First Quarter,1.0,4.77
2025-10-01,-1.75,102.09,5.57,First Quarter,0.0,-0.06
2025-10-02,1.61,101.09,12.05,First Quarter,0.0,1.97
