date,air_temp_C,pressure_kPa,wind_speed_m_s,moon_phase,summer_factor,estimated_water_temp_C
2024-10-06,-1.02,101.74,5.11,Waning,0.0,0.57
2024-10-07,-2.03,102.5,3.42,Waning,0.0,-0.07
2024-10-08,-2.5,103.07,2.71,Waning,0.0,-0.37
2024-10-09,-2.38,102.61,4.95,New Moon,0.0,-0.5
2024-10-10,0.16,101.3,9.68,First Quarter,0.0,1.05
2024-10-11,0.67,100.24,8.64,First Quarter,0.0,1.55
2024-10-12,0.6,99.62,11.32,First Quarter,0.0,1.22
2024-10-13,-0.2,100.0,9.63,First Quarter,0.0,0.75
2024-10-14,0.35,100.24,9.35,First Quarter,0.0,1.22
2024-10-15,0.43,100.16,6.0,First Quarter,0.0,1.62
2024-10-16,0.28,100.02,2.46,Full Moon,0.0,2.23
2024-10-17,0.16,99.97,4.0,Full Moon,0.0,1.98
2024-10-18,0.52,98.84,8.55,Full Moon,0.0,1.8
2024-10-19,0.24,100.04,11.03,Full Moon,0.0,1.34
2024-10-20,0.29,100.3,7.21,Full Moon,0.0,1.76
2024-10-21,1.36,99.12,4.93,Full Moon,0.0,2.84
2024-10-22,0.93,99.19,2.96,Full Moon,0.0,2.69
2024-10-23,0.38,98.89,5.98,Last Quarter,0.0,1.57
2024-10-24,0.07,99.52,2.65,Last Quarter,0.0,1.66
2024-10-25,0.44,98.39,8.95,Last Quarter,0.0,1.32
2024-10-26,-0.09,98.17,10.69,Last Quarter,0.0,0.72
2024-10-27,-1.43,99.53,7.78,Last Quarter,0.0,-0.05
2024-10-28,0.26,98.03,5.96,Last Quarter,0.0,1.47
2024-10-29,-0.02,97.42,9.68,Last Quarter,0.0,0.87
2024-10-30,-1.96,97.95,8.28,Last Quarter,0.0,-0.54
2024-10-31,-2.79,98.93,3.96,Waning,0.0,-0.76
2024-11-01,-0.2,98.86,7.06,Waning,0.0,1.0
2024-11-02,0.47,98.52,6.32,Waning,0.0,1.6
2024-11-03,0.22,99.22,4.53,Waning,0.0,1.59
2024-11-04,-0.01,100.14,2.14,Waning,0.0,1.65
2024-11-05,-2.27,99.97,2.34,Waning,0.0,-0.18
2024-11-06,-3.13,100.07,6.41,Waning,0.0,-1.27
2024-11-07,-4.69,100.21,5.27,New Moon,0.0,-2.4
2024-11-08,-2.27,99.67,7.79,New Moon,0.0,-0.72
2024-11-09,-1.72,100.7,5.44,First Quarter,0.0,-0.04
2024-11-10,-1.58,101.18,4.09,First Quarter,0.0,0.21
2024-11-11,-0.1,101.02,2.64,First Quarter,0.0,1.54
2024-11-12,-0.27,100.28,10.73,First Quarter,0.0,0.59
2024-11-13,0.43,97.86,16.34,First Quarter,0.0,0.56
2024-11-14,-0.64,98.71,16.39,First Quarter,0.0,-0.29
2024-11-15,-3.4,100.63,12.36,Full Moon,0.0,-1.7
2024-11-16,-4.67,101.05,12.25,Full Moon,0.0,-2.7
2024-11-17,-5.36,101.29,9.46,Full Moon,0.0,-2.97
2024-11-18,-5.82,101.84,7.99,Full Moon,0.0,-3.19
2024-11-19,-6.99,102.35,9.44,Full Moon,0.0,-4.26
2024-11-20,-6.4,102.3,6.96,Full Moon,0.0,-3.54
2024-11-21,-4.24,101.54,7.88,Full Moon,0.0,-1.91
2024-11-22,-3.38,101.03,5.16,Last Quarter,0.0,-1.33
2024-11-23,-4.11,99.94,4.22,Last Quarter,0.0,-1.84
2024-11-24,-4.38,98.97,10.88,Last Quarter,0.0,-2.73
2024-11-25,-9.28,99.11,8.31,Last Quarter,0.0,-6.39
2024-11-26,-10.0,99.25,7.12,Last Quarter,0.0,-6.84
2024-11-27,-10.33,100.22,7.88,Last Quarter,0.0,-7.17
2024-11-28,-11.33,101.25,6.77,Last Quarter,0.0,-7.85
2024-11-29,-10.31,99.88,15.92,Waning,0.0,-7.97
2024-11-30,-9.88,99.06,19.22,Waning,0.0,-7.96
2024-12-01,-9.88,99.78,14.56,Waning,0.0,-7.49
2024-12-02,-9.97,99.67,12.81,Waning,0.0,-7.39
2024-12-03,-10.8,100.0,11.83,Waning,0.0,-7.95
2024-12-04,-9.96,100.5,9.36,Waning,0.0,-7.02
2024-12-05,-10.82,101.14,4.63,Waning,0.0,-7.23
2024-12-06,-7.54,101.41,4.01,Waning,0.0,-4.54
2024-12-07,-4.47,100.87,9.84,New Moon,0.0,-2.68
2024-12-08,-7.84,100.62,8.35,First Quarter,0.0,-5.23
2024-12-09,-8.66,100.34,6.52,First Quarter,0.0,-5.7
2024-12-10,-8.33,100.53,8.39,First Quarter,0.0,-5.62
2024-12-11,-12.89,101.44,11.28,First Quarter,0.0,-9.55
2024-12-12,-13.34,102.34,11.58,First Quarter,0.0,-9.93
2024-12-13,-12.21,101.87,8.03,First Quarter,0.0,-8.68
2024-12-14,-9.57,101.01,3.47,Full Moon,0.0,-5.74
2024-12-15,-6.44,100.42,6.54,Full Moon,0.0,-3.55
2024-12-16,-12.96,100.36,6.45,Full Moon,0.0,-8.76
2024-12-17,-14.04,100.27,9.37,Full Moon,0.0,-9.92
2024-12-18,-12.02,99.67,8.92,Full Moon,0.0,-8.26
2024-12-19,-12.29,99.64,4.75,Full Moon,0.0,-8.06
2024-12-20,-9.76,100.26,3.86,Full Moon,0.0,-5.94
2024-12-21,-6.29,100.58,8.49,Last Quarter,0.0,-4.0
2024-12-22,-12.62,101.56,4.62,Last Quarter,0.0,-8.67
2024-12-23,-17.25,102.27,4.7,Last Quarter,0.0,-12.37
2024-12-24,-9.98,101.85,10.37,Last Quarter,0.0,-7.13
2024-12-25,-5.02,100.45,13.49,Last Quarter,0.0,-3.49
2024-12-26,-5.14,99.18,12.02,Last Quarter,0.0,-3.45
2024-12-27,-6.8,98.97,8.25,Last Quarter,0.0,-4.4
2024-12-28,-11.0,99.69,8.17,Last Quarter,0.0,-7.75
2024-12-29,-13.93,99.67,6.83,Waning,0.0,-9.96
2024-12-30,-12.09,99.64,9.58,Waning,0.0,-8.76
2024-12-31,-14.96,100.0,9.11,Waning,0.0,-11.0
2025-01-01,-13.25,99.2,11.35,Waning,0.0,-9.87
2025-01-02,-7.71,98.8,13.85,Waning,0.0,-5.69
2025-01-03,-6.18,99.7,9.01,Waning,0.0,-3.97
2025-01-04,-5.13,100.82,7.15,Waning,0.0,-2.94
2025-01-05,-7.87,101.49,5.11,New Moon,0.0,-4.92
2025-01-06,-13.06,101.73,4.16,New Moon,0.0,-8.97
2025-01-07,-15.93,101.71,1.72,First Quarter,0.0,-11.02
2025-01-08,-16.44,101.23,3.74,First Quarter,0.0,-11.64
2025-01-09,-11.36,100.47,8.62,First Quarter,0.0,-8.07
2025-01-10,-7.34,99.61,13.84,First Quarter,0.0,-5.38
2025-01-11,-13.1,98.59,6.42,First Quarter,0.0,-9.26
2025-01-12,-10.85,98.97,6.95,First Quarter,0.0,-7.51
2025-01-13,-12.04,99.92,3.91,Full Moon,0.0,-7.77
2025-01-14,-14.25,100.14,1.87,Full Moon,0.0,-9.34
2025-01-15,-17.75,100.11,3.94,Full Moon,0.0,-12.34
2025-01-16,-19.56,99.85,7.14,Full Moon,0.0,-14.11
2025-01-17,-22.4,100.3,6.62,Full Moon,0.0,-16.33
2025-01-18,-22.06,100.93,5.41,Full Moon,0.0,-15.93
2025-01-19,-24.04,101.47,9.11,Full Moon,0.0,-17.88
2025-01-20,-24.44,102.8,7.96,Last Quarter,0.0,-18.45
2025-01-21,-19.91,102.24,5.92,Last Quarter,0.0,-14.62
2025-01-22,-11.2,99.87,7.47,Last Quarter,0.0,-7.83
2025-01-23,-13.95,99.58,6.52,Last Quarter,0.0,-9.94
2025-01-24,-11.46,100.65,5.16,Last Quarter,0.0,-7.8
2025-01-25,-9.9,101.21,8.99,Last Quarter,0.0,-6.93
2025-01-26,-9.42,101.23,5.35,Last Quarter,0.0,-6.18
2025-01-27,-7.24,101.09,7.79,Waning,0.0,-4.69
2025-01-28,-8.31,101.15,8.68,Waning,0.0,-5.63
2025-01-29,-9.1,100.9,11.18,Waning,0.0,-6.51
2025-01-30,-1.64,100.41,9.59,Waning,0.0,-0.39
2025-01-31,-2.59,101.05,6.22,Waning,0.0,-0.81
2025-02-01,-7.17,102.23,6.94,Waning,0.0,-4.53
2025-02-02,-2.5,102.13,14.7,Waning,0.0,-1.57
2025-02-03,-2.94,102.43,14.58,Waning,0.0,-1.91
2025-02-04,-4.07,102.32,12.76,New Moon,0.0,-2.63
2025-02-05,-3.52,100.18,13.56,New Moon,0.0,-2.3
2025-02-06,-4.11,99.34,9.35,First Quarter,0.0,-2.35
2025-02-07,-2.31,97.39,8.98,First Quarter,0.0,-0.9
2025-02-08,-6.09,99.93,7.7,First Quarter,0.0,-3.77
2025-02-09,-7.54,100.39,7.12,First Quarter,0.0,-4.87
2025-02-10,-8.68,101.0,5.02,First Quarter,0.0,-5.56
2025-02-11,-9.73,101.08,6.21,Full Moon,0.0,-6.14
2025-02-12,-10.86,102.96,9.4,Full Moon,0.0,-7.35
2025-02-13,-14.68,103.83,9.15,Full Moon,0.0,-10.37
2025-02-14,-12.12,103.64,10.82,Full Moon,0.0,-8.49
2025-02-15,-8.69,103.35,8.54,Full Moon,0.0,-5.52
2025-02-16,-7.61,103.03,10.34,Full Moon,0.0,-4.84
